"site","precision","deviation","measure","estimate","parent"
1,0.18,5.55555555555556,"survival",3.28,"Survival"
2,0.19,5.26315789473684,"survival",2.91,"Survival"
3,0.25,4,"survival",-7.09,"Survival"
4,0.29,3.44827586206897,"survival",2.35,"Survival"
5,0.3,3.33333333333333,"survival",3.51,"Survival"
6,0.34,2.94117647058824,"survival",1.03,"Survival"
7,0.34,2.94117647058824,"survival",-0.75,"Survival"
8,0.34,2.94117647058824,"survival",3.93,"Survival"
9,0.35,2.85714285714286,"survival",3.77,"Survival"
10,0.37,2.7027027027027,"survival",-5.05,"Survival"
11,0.4,2.5,"survival",1.15,"Survival"
12,0.41,2.4390243902439,"survival",3.72,"Survival"
13,0.41,2.4390243902439,"survival",1.57,"Survival"
14,0.41,2.4390243902439,"survival",0.31,"Survival"
15,0.42,2.38095238095238,"survival",2.38,"Survival"
16,0.42,2.38095238095238,"survival",-7.14,"Survival"
17,0.43,2.32558139534884,"survival",-1.49,"Survival"
18,0.43,2.32558139534884,"survival",1.94,"Survival"
19,0.44,2.27272727272727,"survival",4.37,"Survival"
20,0.45,2.22222222222222,"survival",-0.94,"Survival"
21,0.46,2.17391304347826,"survival",-3.58,"Survival"
22,0.48,2.08333333333333,"survival",-0.39,"Survival"
23,0.51,1.96078431372549,"survival",4.86,"Survival"
24,0.55,1.81818181818182,"survival",4.16,"Survival"
25,0.55,1.81818181818182,"survival",-0.91,"Survival"
26,0.55,1.81818181818182,"survival",-3.36,"Survival"
27,0.57,1.75438596491228,"survival",2.38,"Survival"
28,0.57,1.75438596491228,"survival",-1.64,"Survival"
29,0.59,1.69491525423729,"survival",2.98,"Survival"
30,0.59,1.69491525423729,"survival",0.97,"Survival"
31,0.6,1.66666666666667,"survival",0.27,"Survival"
32,0.6,1.66666666666667,"survival",1.15,"Survival"
33,0.61,1.63934426229508,"survival",-0.08,"Survival"
34,0.61,1.63934426229508,"survival",-0.52,"Survival"
35,0.62,1.61290322580645,"survival",3.57,"Survival"
